County,Market Name,Market Location,Address Line 1,City,State,Zip,Contact,Phone,Market Link,Operation Hours,Operation Season,Operating Months,FMNP,SNAP,FCC Issued,FCC Accepted,Latitude,Longitude,Georeference
Queens,Elmhurst Hospital Greenmarket,79-11 41st Ave btwn 80th & 81st Sts,41st Ave and 80th St,Elmhurst,NY,11373,Siobahn Keys,2127887476,http://www.grownyc.org,Tue 8am-4pm,June 7-November 22,M,Y,Y,N,Y,40.7458,-73.88548,"(40.7458, -73.88548)"
Clinton,Rulfs Orchard Farm Stand,531 Bear Swamp Road Peru,531 Bear Swamp Road,Peru,NY,12972,Shannon Wilkins,5186438636,http://www.rulfsorchard.com,Daily 6am-6pm,Year-round,YR,N,N,N,Y,44.5786,-73.49804,"(44.5786, -73.49804)"
New York,Bowling Green Tuesday Greenmarket,1 Bowling Green,1 Bowling Green,New York,NY,10004,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket/manhattan/bowling-green-tu,Tue 8am-5pm,Year-round,YR,Y,Y,N,Y,40.70454,-74.01418,"(40.70454, -74.01418)"
Sullivan,Barryville Farmers' Market,3405 NY -97,3405 NY -97,Barryville,NY,12719,John Pizzolato,8455570913,,Saturday  10am-1pm,May 21-October 23,P/M,N,N,N,Y,41.47847,-74.91539,"(41.47847, -74.91539)"
Rensselaer,Veggie Mobile Sprout-Public Library Sr. Ctr,1501 Broadway #1 Watervliet,1501 Broadway,Watervliet,NY,12189,Audrey Bridge,5182748685,http://www.capitalroots.org,Thu 2:30pm-3:30pm,Year-round,YR,N,Y,N,Y,42.72629,-73.70008,"(42.72629, -73.70008)"
Schenectady,Veggie Mobile-Summit Towers,720 Albany St. Schenectady,720 Albany street,Schenectady,NY,12307,Audrey Bridge,5182748685,http://www.capitalroots.org,Fri 1:30pm-2pm,Year-round,YR,N,Y,N,Y,42.80923,-73.93822,"(42.80923, -73.93822)"
Washington,Salem Rt. 22 Farmers' Market,Village Park Gazebo Rt 22 Main St,Route 22 and Railroad St.,Salem,NY,12865,Cyd Groff,5186421653,,Sat 10am-1pm,June 4-October 15,M,Y,N,N,Y,43.17322,-73.32837,"(43.17322, -73.32837)"
Rensselaer,Veggie Mobile Sprout-Burns Apts,720 Federal St. Troy,720 Federal Street,Troy,NY,12180,Audrey Bridge,5182748685,http://www.capitalroots.org,Thu  12:30pm-1:15pm,Year-round,YR,N,Y,N,Y,42.733148,-73.684555,"(42.733148, -73.684555)"
New York,92nd Street Greenmarket,1780 1st Ave at E 92nd st,East 92nd St and First Ave,New York,NY,10128,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket,Sun 9am-4pm,June 19-November 20,M,Y,Y,N,Y,40.78071,-73.94658,"(40.78071, -73.94658)"
Monroe,Irondequoit Farmers' Market,Town Hall Lawn  1280 Titus Ave. Rochester,1280 Titus Ave,Rochester,NY,14617,Katrina Hall,5853366073,http://www.irondequoit.org,Thursday 4pm-8pm,May 26-October 13,P/M,Y,Y,N,Y,43.21118,-77.58154,"(43.21118, -77.58154)"
Kings,McCarren Park Greenmarket,228 N 12th St at Union Ave,N 12th Street and Driggs Ave,Brooklyn,NY,11222,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket/brooklyn/greenpoint-sa,Sat 8am-2pm,Year-round,YR,Y,Y,N,Y,40.72046,-73.95269,"(40.72046, -73.95269)"
Suffolk,Rocky Point Farmers' & Artisan Market,Old Depot Park Broadway & Prince St,115 Prince Road,Rocky Point,NY,11778,Virginia Heslin,5166390694,,Sun 9am-1pm,June 5-November 20,M,Y,N,N,Y,40.94927,-72.92391,"(40.94927, -72.92391)"
Yates,Yates County Co-op Farm & Craft Market,"""Penn Yan Farmers Market"", Jacob Street Penn Yan",Jacob Street,Penn Yan,NY,14527,Rivka Davis,6072435234,,Sat 8:00am-12:30pm,June 11-October 8,M,Y,N,N,Y,42.66095,-77.05365,"(42.66095, -77.05365)"
Nassau,The Napolitano Family Farm Stand,3434 Hempstead Turnpike Levittown,3434 Hempstead Turnpike,Levittown,NY,11756,Daniel Napolitano,6462834682,http://www.napolitanofamilyfarm.com,Sat 9am-1pm,June 11-October 29,M,Y,N,N,Y,40.72556,-73.50916,"(40.72556, -73.50916)"
Essex,Drinkwine Produce Farm Stand,Route 9N & 22 Street Rd.  Ticonderoga,Route 9N and 22 Street Road,Ticonderoga,NY,12883,Henry Drinkwine,5185856346,,"Mon-Sat 10am-6pm, Sun 11am-6pm",May 15-October 31,P/M,Y,N,N,Y,43.88032,-73.44955,"(43.88032, -73.44955)"
Orange,Newburgh Mall Farmers' Market,Newburgh Mall Parking lot 1401 Rte 300,1401 Route 300,Newburgh,NY,12550,Debbie Gaito,8455641400,http://www.newburghmall.com,Sat 10am-2pm,July 16-October 15,M,Y,N,N,Y,41.51758,-74.0714,"(41.51758, -74.0714)"
Albany,Veggie Mobile Sprout-Robert Whalen,305 Colonie Street Albany,305 Colonie Street,Albany,NY,12210,Audrey Bridge,5182748685,http://www.capitalroots.org,Wed 11:15am-12pm,Year-round,YR,N,Y,N,Y,42.66338,-73.75595,"(42.66338, -73.75595)"
Greene,Fromer Market Gardens Farm Stand,6120 Main St.  Tannersville,6120 Main Street,Tannersville,NY,12485,Samantha Metz,8622001935,http://www.fromermarketgardens.com,"Sat 9am-2pm, Wed 2pm-6pm",Year-round,YR,Y,Y,N,Y,42.19546,-74.13889,"(42.19546, -74.13889)"
Onondaga,Fayetteville Farmers' Market,Fayetteville Town Ctr 504 Burdick St.,504 Burdick Street,Fayetteville,NY,13066,Lacey Cashman,3013351434,http://www.fayettevillefarmersmarketcny.com,Thur 12pm-6pm,Year-round,YR,N,N,N,Y,43.02764,-76.01608,"(43.02764, -76.01608)"
Broome,Broome Co Regional Sat Farmers' Market,840 Upper Front St. Binghamton,840 Upper Front St.,Binghamton,NY,13905,Amanda Poodiack,6077728953,http://www.broomecountyregionalmarket.com,Sat 9am-1pm,May 7-December 31,P/M/X,Y,Y,Y,Y,42.12921,-75.90609,"(42.12921, -75.90609)"
New York,Union Square Wednesday Greenmarkets,"31 Union Square W, NW side of Park",Broadway and East 17th St,New York,NY,10003,Siobahn Keys,2127887476,https://www.grownyc.org/greenmarket,Wed 8am-6pm,Year-round,YR,Y,Y,N,Y,40.7371,-73.99032,"(40.7371, -73.99032)"
Franklin,JCEO MM-Owls Head,Old Catholic Church 	197 Rte 27 Owls Head,197 ounty Route27,Owls Head,NY,12969,Robert King,5183194028,http://www.jceo.org,Wed  12:30pm-2:00pm,June 1-September 30,M,Y,Y,N,Y,44.69206,-74.11341,"(44.69206, -74.11341)"
Erie,Elmwood Village Farmers' Market,Bidwell Parkway corner of Elmwood Ave.,Elmwood Ave and Bidwell Pkwy,Buffalo,NY,14222,James Chichocki,7168810707,http://www.elmwoodmarket.org,Sat 8am-1pm,May 7-November 26,P/M,Y,Y,N,Y,42.92371,-78.87702,"(42.92371, -78.87702)"
Oswego,Oswego Farmers' Market,West 1st btwn Bridge & W Oneida St,West Bridge St and West 1st St,Oswego,NY,13126,Sara Broadwell,3155915491,http://www.oswegofultonchamber.com,Thu 4pm-7:45pm,June 9-October 13,M,Y,Y,N,Y,43.45656,-76.51127,"(43.45656, -76.51127)"
Schuyler,Montour Falls Farmers' Market,301 Clawson Blvd.,301 Clawson Boulevard,Montour Falls,NY,14865,Jessica Westlake,6077426798,http://www.montourfallsfarmersmarket.com,Thu 4pm-7pm,June 16-September 29,M,Y,Y,N,Y,42.34629,-76.84783,"(42.34629, -76.84783)"
Cortland,Valley View Farms Farm Stand,"44 James St Homer, at Old Homer House",44 James St,Homer,NY,13077,Joan Franklin,6077493424,,Thu 1pm-5pm,June 9-October 27,M,Y,N,N,Y,42.63646,-76.18335,"(42.63646, -76.18335)"
New York,Bowling Green Thursday Greenmarket,1 Bowling Green,1 Bowling Green,New York,NY,10004,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket,Thu 8am-5pm,Year-round,YR,Y,Y,N,Y,40.70445,-74.01423,"(40.70445, -74.01423)"
Saratoga,Arnolds Farm Fresh Produce Farm Stand,1319 Sacandaga Rd West Charlton,1319 Sacandaga Rd,West Charlton,NY,12010,Jason Arnold,5182699562,http://www.arnoldsproduce.com,Daily 10am-6pm,May 1-November 30,P/M,Y,N,N,Y,42.96962,-74.02911,"(42.96962, -74.02911)"
Monroe,Curbside Market-Carriage Factory Apts,33 Litchfield St Rochester,33 Litchfield Street,Rochester,NY,14608,Camille Verbofsky,5854135077,http://www.foodlinkny.org,Tue 1:30pm-2:30pm,Year-round,YR,Y,Y,N,Y,43.15396,-77.62575,"(43.15396, -77.62575)"
Schenectady,Veggie Mobile Sprout-Schenectady Day Nursery,25 Lafayette St Schenectady,25 Lafayette St,Schenectady,NY,12307,Audrey Bridge,5182748685,http://www.captialroots.org,Monday 4pm-4:30pm,Year-round,YR,N,Y,N,Y,42.81479,-73.93633,"(42.81479, -73.93633)"
Dutchess,Share the Bounty Farm Stand,"Hudson River Healthcare , 3360 Route 343 Amenia",3360 Route 343,Amenia,NY,12501,Edward Frederick,8452067526,,Tue 9am-1pm,June 28-October 25,M,N,N,N,Y,41.85035,-73.55065,"(41.85035, -73.55065)"
Kings,McGolrick Park Farmers' Market,"130 Russell St. Brooklyn, Center Pavillion in McGolrick Park",130 Russell Street,Brooklyn,NY,11222,Dacotah Rousseau,9149234837,http://www.downtoearthmarkets.com,Sun 10am-3pm,May 15-December 18,P/M/X,Y,Y,N,Y,40.72483,-73.94432,"(40.72483, -73.94432)"
New York,Harvest Home Harlem Hospital Farmers' Market,"506 Lenox Ave. , Btwn W 135th & W 137th Sts.",137th Street and Lennox Avenue,New York,NY,10037,Maritza Owens,2128283361,http://www.harvesthomefm.org,Fri 8am-5pm,June 17-November 18,M,Y,Y,N,Y,40.81539,-73.93985,"(40.81539, -73.93985)"
Chautauqua,Jamestown Public Market,Third Street,Cherry and West 2nd St,Jamestown,NY,14701,Linnea Carlson,7162260650,,Sat 10am-2pm,June 11-October 29,M,Y,Y,N,Y,42.09567,-79.24234,"(42.09567, -79.24234)"
Wayne,Ginegaw Farmers' Market,3600 Lorraine Dr. Walworth,3600 Lorraine Drive,Walworth,NY,14568,Jacqueline VanLare,3159861400,http://www.townofwalworthny.gov,Tue 2:30pm-6:00pm,June 14-October 11,M,Y,N,N,Y,43.1391,-77.28549,"(43.1391, -77.28549)"
Herkimer,Juliano's Farm Market,2365 State Route 5 Utica,2365 State Route 5,Utica,NY,13502,Deborah E Juliano,3157238778,,"Mon-Sat 7:30am-6pm, Sun 7:30am-4pm",April 21-October 31,P/M,Y,Y,N,Y,43.09608,-75.14626,"(43.09608, -75.14626)"
Tompkins,Jasper Meadows Farm Stand,26 Palmear Road Freeville,26 Palmear Road,Freeville,NY,13068,Charles and Madalyn Alridge,6077084327,,Mon/Wed/Fri 4pm-7pm,May 20-October 31,M,Y,N,N,Y,42.52078,-76.35776,"(42.52078, -76.35776)"
Saratoga,Petuskes Produce Farm Stand,39 Halfmoon Drive Waterford,39 Halfmoon Drive,Waterford,NY,12188,Michelle Petuske,5183715709,,"Mon-Fri 9am-5:30pm, Sun/Sat 9am-3pm",May 15-October 1,P/M,Y,Y,N,Y,42.82758,-73.71722,"(42.82758, -73.71722)"
Sullivan,Narrowsburg Farmers Market,7 Erie Avenue Narrowsburg,7 Eric Ave,Narrowsburg,NY,12764,Greg Swartz,5709820050,,Saturday  10am-1pm,May 14-October 29,P/M,N,N,N,Y,41.6052,-75.06393,"(41.6052, -75.06393)"
Schenectady,Veggie Mobile-Father Leo Obrien,3151 Marra Lane Schenectady,3151 Marra Lane,Schenectady,NY,12303,Audrey Bridge,5182748685,http://www.capitalroots.org,Mon 1pm-1:45pm,Year-round,YR,N,Y,N,Y,42.76062,-73.94004,"(42.76062, -73.94004)"
Washington,Cambridge Valley Farmers' Market,24 South Park St.,24 South Park Street,Cambridge,NY,12816,Debby Jaffe,5186778128,http://www.cambridgevalleyfarmersmarket.com,Sun 10am-1pm,May 22-October 30,P/M,Y,N,N,Y,43.02833,-73.38093,"(43.02833, -73.38093)"
Kings,Borough Park Greenmarket,4910 14th Ave btwn 49th & 50th Sts,14th Ave and 49th St,Brooklyn,NY,11219,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket,Thu 8am-3pm,July 7-November 17,M,Y,Y,N,Y,40.6337,-73.98992,"(40.6337, -73.98992)"
Clinton,Rouses Point Farmers' Market,Dodge Memorial Library 144 Lake St.,144 Lake Street,Rouses Point,NY,12979,Jim Rabideau,5182983878,,Fri 3pm-7pm,June 24-September 30,M,N,N,N,Y,44.99038,-73.36434,"(44.99038, -73.36434)"
Ontario,Geneva Lakefront Farmers' Market,"Finger Lakes Welcome Center, 35 Lake Front Dr.",35 Lake Front Dr.,Geneva,NY,14456,Liz Toner,3158286588,,Sat 8am-1:30pm,May 28-October 8,M,Y,Y,N,Y,42.869,-76.98106,"(42.869, -76.98106)"
Suffolk,Huntington Village Farmers' Market,"228 Main St Huntington, Elm St Parking Lot",228 Main St,Huntington,NY,11743,Lona Graepel,6319442661,http://www.longislandfarmersmarkets.com,Sun 7:30am-12:30pm,June 5-Nov 20,M,Y,N,N,Y,40.87163,-73.42456,"(40.87163, -73.42456)"
Rensselaer,Veggie Mobile Sprout-Edward A. Kane Apts,115th Street & 2nd Ave Troy,5 115th Street,Troy,NY,12182,Audrey Bridge,5182748685,http://www.capitalroots.org,Thu 11am-11:45am,Year-round,YR,N,Y,N,Y,42.7748,-73.67761,"(42.7748, -73.67761)"
Franklin,Malone Farmers' Market,27 Airport Rd. (Rte 11)  Pavilion at Marcy Airfield,27 Airport Road,Malone,NY,12953,Vicky Rayl,5186517680,http://www.adirondackfarmersmarket.com,Wed 12pm-4:30pm,May 25-October 5,P/M,Y,N,N,Y,44.84733,-74.32773,"(44.84733, -74.32773)"
Albany,Veggie Mobile-Cohoes Senior Ctr,100 Cayuga Plaza Cohoes,100 Cayuga Plaza,Cohoes,NY,12047,Audrey Bridge,5182748685,http://www.capitalroots.org,Wednesday 3pm-4pm,Year-round,YR,N,Y,N,Y,42.77712,-73.70101,"(42.77712, -73.70101)"
Erie,Clarence Hollow Farmers' Market,10717 Main St. Bike Path pkng lot Clarence,10717 Main St,Clarence,NY,14031,Cheryl Anthony,7167591075,http://www.clarencefarmersmarket.com,Sat 8am-1pm,June 4-October 29,M,Y,N,N,Y,42.9808,-78.58904,"(42.9808, -78.58904)"
Westchester,TaSH Farmers' Market,Patriots Park Route 9  Sleepy Hollow,Patriots Park Route 9,Sleepy Hollow,NY,10591,Linda Eder,9144717437,http://www.tashfarmersmarket.org,Sat 8:30am-12:30pm,May 28-November 19,P/M,Y,Y,N,Y,41.08525,-73.85924,"(41.08525, -73.85924)"
Bronx,James Baldwin Outdoor Learning Center Farmers Market,Sedgwick @ Goulden Ave Bronx,Sedgwick @ Goulden Ave Bronx,Bronx,NY,10463,Ray Pultinas,9177553559,http://www.jamesbaldwinoutdoorlearningcenter.org,Sat 10am-3pm,June 18-Oct 29,M,Y,Y,N,Y,40.88277,-73.88809,"(40.88277, -73.88809)"
Niagara,Veggie Van MM-Carolyn's House YWCA,542 6th St Niagara Falls,542 6th St,Niagara Falls,NY,14301,Jen Regan,7164338839,,Thursday 2:30pm-3:30pm,June 1-October 31,M,N,Y,N,Y,43.09224,-79.05563,"(43.09224, -79.05563)"
St. Lawrence,Hammond Farmers' and Artisans Market,"Hammond Museum , 14 North Main St. Route 37",14 North Main Street,Hammond,NY,13646,Lori Thistle,3153245032,,Wed 3pm-6pm,June 15-September 14,M,Y,Y,N,Y,44.45118,-75.69312,"(44.45118, -75.69312)"
Erie,Clinton Bailey Thurs Farmers' Market,1443-1517 Clinton St. Buffalo,Bailey Ave and Clinton St,Buffalo,NY,14206,Sharon Baldi,7168222466,http://www.clintonbaileymarket.com,Thu 4am-5pm,May 7-October 31,P/M,Y,Y,N,Y,42.87206,-78.81997,"(42.87206, -78.81997)"
Chautauqua,Fredonia WINTER Farmers' Market,329 East Main St. (Rt 20) Masonic Lodge,321 East Main St. (Rte 20),Fredonia,NY,14063,Rosemary Joy,7164107313,http://www.fredoniafarmersmarket.org,Sat 10am-1pm,"November 6-May 14, 2022",M/X/W/P,N,Y,Y,Y,42.44764,-79.315,"(42.44764, -79.315)"
Erie,Broadway Farmers' Market,999 Broadway Buffalo parking entrances on Gibson or Lombard St.,999 Broadway,Buffalo,NY,14212,Kathleen Peterson,7168930705,,Mon-Sat  8am-5pm,Year-round,YR,N,Y,N,Y,42.893162,-78.837667,"(42.893162, -78.837667)"
New York,Morningside Park Farmers' Market,237 Manhattan Ave,237 Manhattan Ave.,New York,NY,10025,Dacotah Rousseau,9149234837,http://www.downtoearthmarkets.com,Sat 9am-2pm,May 14-December 17,P/M/X,Y,Y,N,Y,40.80173,-73.95915,"(40.80173, -73.95915)"
Lewis,Lyons Falls Farmers' Market,Riverside Park  6904 Laura St.,6904 Laura St,Lyons Falls,NY,13368,Catherine Liendecker,3153488744,http://www.lewisfirst.com/lyonsfallsalive,Tue 11am-4pm,June 14-October 4,M,Y,Y,N,Y,43.61458,-75.3562,"(43.61458, -75.3562)"
Cortland,Cortland Saturday Farmers' Market,13 Carl St.  In front of Grace & Holy Spirit City Church,Main St and Orchard St,Cortland,NY,13045,Nicole Bennett,6077588331,,Sat 8am-2pm,June 4-October 29,M,Y,Y,N,Y,42.60028,-76.18044,"(42.60028, -76.18044)"
Madison,Cottage Lawn Farmers' Market,"435 Main St. Oneida, Madison Co. Historical Society",435 Main St.,Oneida,NY,13421,Colleen Donahue,3153634136,http://www.mchsfarmersmarket.org,Tue 2pm-6pm,June 7-August 30,P/M,Y,N,N,Y,43.08719,-75.64705,"(43.08719, -75.64705)"
Albany,Delmar Saturday Farmers' Market,"Bethlehem Middle School, 332 Kenwood Avenue",332 Kenwood Avenue,Delmar,NY,12054,Ken Myer,5184871991,http://www.delmarmarket.org,Sat 9am-1pm,May 7-December 17,P/M/X,Y,N,N,Y,42.60116,-73.84,"(42.60116, -73.84)"
Monroe,Curbside Market-Glenwood Gardens (Santee St),306 Santee St Rochester,295 Santee St,Rochester,NY,14613,Camille Verbofsky,5854135077,http://www.foodlinkny.org,Tue 3:15pm-4pm,Year-round,YR,Y,Y,N,Y,43.17496,-77.64307,"(43.17496, -77.64307)"
Niagara,Huntington Farm Stand I,9715 Ridge Rd. Middleport,9715 Ridge Rd.,Middleport,NY,14105,Dan Huntington,7163930590,,Daily 11am-7pm,June 1-October 31,M,Y,N,N,Y,43.24672,-78.48848,"(43.24672, -78.48848)"
Jefferson,Windswept Meadows Farm Stand,17025 Cty Rt 68 Watertown,17025 County Road 68,Watertown,NY,13601,Delta Keeney,3157881933,http://www.keeneyswindsweptmeadowsfarm.com,Daily 8am-8pm,June 27-October 29,M,Y,Y,N,Y,43.91784,-75.87206,"(43.91784, -75.87206)"
Steuben,Dave's Produce Farm Stand,6719 State Route 415 S Bath,6719 State Route 415 South,Bath,NY,14810,David Hyer,6077947043,,"Mon-Fri 10am-6pm, Sat 9am-5pm Sun 10am-5pm",May 1-December 24,P/M/X,Y,N,N,Y,42.32583,-77.29073,"(42.32583, -77.29073)"
Nassau,Restoration Farm Farm Stand,140 Bethpage-Sweet Hollow Road,140 Bethpage-Sweet Hollow Road,Old Bethpage,NY,11804,Caroline Fanning,7183094220,http://www.restorationfarm.com,"Tue/Thu  2pm-6pm, Saturday  9am-1pm",May 21-October 29,M/X/W,N,N,N,Y,40.76181,-73.44488,"(40.76181, -73.44488)"
Ulster,Kingston YMCA Farm Stand,"507 Broadway, Winter moves into Lobby",507 Broadway,Kingston,NY,12401,Kaycee Wimbish,8453322927,http://www.kingstonymcafarmproject.org,"Tue 10-12:30pm, Thu 3:30pm-6pm","June 2-February 25, 2023",M/X/W,Y,Y,N,Y,41.92805,-74.0007,"(41.92805, -74.0007)"
Orange,Goshen Farmers' Market,"Goshen Village Square , 255 Main St.",Main St and Church St,Goshen,NY,10924,Kristen O'Donnell,8452947741,http://www.goshennychamber.com,Fri 9am-3:30pm,May 20-October 28,P/M,Y,N,N,Y,41.40219,-74.32408,"(41.40219, -74.32408)"
Wayne,The Apple Shed Farm Stand,"3391 Fairville Maple Ridge Rd.  , Newark",3391 Fairville Maple Ridge Rd,Newark,NY,14513,Barbara Wells,3153316294,http://www.theappleshed.com,Daily 10am-5pm,August 15-December 23,M/X,Y,N,N,Y,43.12967,-77.09774,"(43.12967, -77.09774)"
Tioga,Seven Counties Farmers' Market-Fri,153 Main Street Owego,153 Main Street,Owego,NY,13827,John Purdy,6076428439,,Fri 9am-1pm,June 24-October 28,M,Y,N,N,Y,42.10315,-76.26336,"(42.10315, -76.26336)"
Montgomery,Damin Farm Stand,8075 State Highway 5  St. Johnsville,8075 State Highway 5,St. Johnsville,NY,13452,Barb Damin,5185682643,,Daily 9am-6pm,Year-round,YR,Y,N,N,Y,43.00497,-74.72233,"(43.00497, -74.72233)"
Orleans,Lori's Market Basket Farm Stand,51 State St. Holley,51 State Street,Holley,NY,14470,Lori Passarell,5856387113,,Daily 9am-6pm,May 1-November 30,P/M,Y,N,N,Y,43.22135,-78.02329,"(43.22135, -78.02329)"
Otsego,Oneonta Farmers' Market,"Muller Plaza 205 Main St. (Rt. 7), May-October outside Foothills, November-April inside Foothills",205 Main Street,Oneonta,NY,13820,Meg Kennedy,6074342407,http://www.oneontafarmersmarket.org,Saturday  9am-12pm,year-round,YR,N,N,N,Y,42.45417,-75.06173,"(42.45417, -75.06173)"
Suffolk,East Hampton Farmers' Market,Herrick Park  Parking lot side,60 Spinner Lane,East Hampton,NY,11937,Katherine Plumb,6317259133,,"Fri 9am-1pm, Sun 10am-2pm (9/11 - 11/27)",May 13-September 9,P/M,Y,Y,N,Y,40.9779,-72.17646,"(40.9779, -72.17646)"
Putnam,Hudson Valley Regional Farmers' Market,15 Mt Ebo Rd South Brewster,15 Mt Ebo Drive,Brewster,NY,10509,Melissa Kamin,8458789078,http://www.hudsonvalleyfarmersmarket.org,Sunday  10am-2pm,Year-round,YR,N,N,N,Y,41.43416,-73.57263,"(41.43416, -73.57263)"
Franklin,JCEO MM-Elm St. Housing,215 Elm St Malone,215 Elm St,Malone,NY,12953,Robert King,5183194028,http://www.jceo.org,Tue 11:15am-11:45pm,June 1-September 30,M,Y,Y,N,Y,44.85535,-74.28165,"(44.85535, -74.28165)"
Bronx,Bronx Borough Hall Greenmarket,900 Concourse Plaza,901 Grand Concourse,Bronx,NY,10451,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket,Tue 8am-4pm,June 7-November 27,M,Y,Y,N,Y,40.82715,-73.92276,"(40.82715, -73.92276)"
Bronx,Harvest Home Co-op City Farm Stand,Asch Loop & Aldrich St.,199 Aldrich St.,Bronx,NY,10475,Maritza Owens,2128283361,http://www.harvesthomefm.org,Wed 8am-4pm,June 15-November 23,M,Y,Y,N,Y,40.87025,-73.83097,"(40.87025, -73.83097)"
Erie,MAP Farm Stand,"387 Massachusetts Ave Buffalo, btwn Barton & Shields",389 Massachusetts Ave.,Buffalo,NY,14213,Karine Amato,7168825327,http://www.mass-ave.org,Thu 3pm-6pm,Year-round,YR,Y,Y,N,Y,42.9128,-78.88774,"(42.9128, -78.88774)"
Monroe,Curbside Market-EL Towers,500 South Ave Rochester,500 South Ave,Rochester,NY,14620,Camille Verbofsky,5854135077,http://www.foodlinkny.org,Tue 3pm-4:15pm,Year-round,YR,Y,Y,N,Y,43.1465,-77.60524,"(43.1465, -77.60524)"
Bronx,Mott Haven Farm Stand,545 East 142nd St Bronx,545 East 142nd Street,Bronx,NY,10454,Rachel Gill,7185083156,http://www.bronxworks.org,Wed 9am-3pm,July 6-November 16,M,Y,Y,N,Y,40.80979,-73.91585,"(40.80979, -73.91585)"
Franklin,Akwesasne Farmers' Market,580 State Route 37,30 Margaret Terrance Memorial Way,Akwesasne,NY,13655,John Bonaparte,5186516283,,Wed/Sat 11am-2pm,June 18-November 5,M,Y,N,N,Y,44.9867,-74.6755,"(44.9867, -74.6755)"
Monroe,Curbside Market-Rochester View Apartments,4365 W Henrietta Rd Henrietta,4365 W Henrietta Road,Henrietta,NY,14467,Camille Verbofsky,5854135077,http://www.foodlinkny.org,Wed 3pm-4pm,Year-round,YR,Y,Y,N,Y,43.06563,-77.64833,"(43.06563, -77.64833)"
Cayuga,Auburn Thu Farmers' Co-op Market,96 State St Curley's Restaurant Pkg Lot,96 State Street,Auburn,NY,13021,Mark Soper,3157048609,http://www.auburnfarmerscoopmarketinc.com,Thu 7am-2pm,June 2-October 29,M,Y,Y,N,Y,42.93401,-76.57007,"(42.93401, -76.57007)"
Wyoming,Farm & Artisan Market at the Villa,Artisan Villa  140 North Main St.  Warsaw,140 North Main Street,Warsaw,NY,14569,Lisa Seewaldt,5857868766,http://www.marketatthevilla.com,Wed 2pm-6pm,May 11-October 26,P/M,Y,Y,N,Y,42.74311,-78.13256,"(42.74311, -78.13256)"
Fulton,Gray's Garden and Greenhouse,"6193 State Highway 29, Saint Johnsville",6193 State Highway 29,Saint Johnsville,NY,13452,Stephanie Gray,5185687770,http://www.graysgardenandgreenhouse.com,Thu-Sun 10am-6pm,July 1-October 8,M,Y,N,N,Y,43.05214,-74.6389,"(43.05214, -74.6389)"
Montgomery,Canajoharie WINTER Farmers Market,Moose Lodge 205 Erie Blvd.,205 Erie Blvd.,canajoharie,NY,13317,Janet L. Stanley,5186730292,,2nd Sunday 10a-12p,Nov-April,X/W/P,N,N,N,Y,42.90518,-74.58031,"(42.90518, -74.58031)"
Albany,Veggie Mobile-Steamboat Square Apts,20 Rensselaer St. Albany,20 Rensselaer Street,Albany,NY,12202,Audrey Bridge,5182748685,http://www.capitalroots.org,Wed 11am-11:45am,Year-round,YR,N,Y,N,Y,42.64093,-73.75363,"(42.64093, -73.75363)"
Queens,Queens County Farm Museum Farm Stand,73-50 Little Neck Pkwy Floral Park,73-50 Little Neck Parkway,Queens,NY,11004,Daniel Morales,9179162834,http://www.queensfarm.org,"Wed-Fri 11am-3pm, Sun 11am-5pm",May 11-November 19,P/M,Y,Y,N,Y,40.74818,-73.72124,"(40.74818, -73.72124)"
Erie,MAP Mobile Market-Buffalo Promise,"3251 Bailey Ave Buffalo, at Dartmouth Ave Vacant Lot",3251 Bailey Ave,Buffalo,NY,14215,Karine Amato,7168825327,http://www.mass-ave.org,Tue 3pm-5pm,June 7-October 2,M,Y,Y,N,Y,42.9433,-78.8134,"(42.9433, -78.8134)"
Oneida,City of Utica Farmers' Market,Chancellor Park Elizabeth St.,Bleeker St and 1st St,Utica,NY,13501,Shannon Holmes,3152233973,,Wednesday  8am-5pm,June 29-Nov 2,M,N,Y,N,Y,43.10043,-75.22483,"(43.10043, -75.22483)"
Westchester,Irvington Farmers' Market,101 Main St.,101 Main St,Irvington,NY,10533,Pascale Le Draoulec,9148063380,http://theirvingtonfarmersmarket.org,Sunday  9am-1:30pm,June 5-November 20,M,N,N,N,Y,41.039046,-73.866942,"(41.039046, -73.866942)"
Franklin,Tupper Lake Farmers' Market,320 Park St. Tupper Lake,320 Park St.,Tupper Lake,NY,12986,Cherie Whitten,5183595112,https://www.facebook.com/TLFarmMarket/,Friday 2-6pm,June 24-October 29,M,N,N,N,Y,44.21956,-74.43693,"(44.21956, -74.43693)"
Otsego,Middlefield Orchard Farm Stand,2274 State Hwy 166 Cooperstown,2274 State Hwy 166,Cooperstown,NY,13326,Wilfred Bruneau,6075478212,http://www.middlefieldorchard.com,Mon-Sat  9am-5pm,June 18-October 31,M,N,N,N,Y,42.70279,-74.8348,"(42.70279, -74.8348)"
