County,License Number,Operation Type,Nursery Size,Greenhouse Size,Trade Name,Owner Name,Business Phone,Street Number,Street Name,Address Line 2,Address Line 3,City,State,Zip Code,Georeference
SUFFOLK,470755,Combined Nursery and Greenhouse,101 Acres or More,"20,001 SqFt of Glass or More",WOODBOURNE CULTURAL NURSERIES INC,WOODBOURNE CULTURAL NURSERIES INC,631-249-2329,301,COLONIAL SP,,,MELVILLE,NY,11747,POINT (-73.486333 40.813376)
ERIE,142512,Nursery Stock Only,11-100 Acres,,TREEHAVEN EVERGREEN NURSERY,HILLIKER DONALD B JR,716-652-4206,981,JAMISON ROAD,,,ELMA,NY,14059,POINT (-78.624775 42.80514)
YATES,644719,Greenhouse Stock Only,,"2,000 SqFt of Glass or Less",EARL & VERNA NOLT,EARL & VERNA NOLT,607-243-5749,6045,PRE EMPTION ROAD,,,DUNDEE,NY,14837,POINT (-76.988467 42.471374)
CATTARAUGUS,46110,Nursery Stock Only,11-100 Acres,,SCHICHTELS NURSERY INC,SCHICHTELS NURSERY INC,716-592-9383,,WINKEY-GUNBARREL,,,SARDINIA,NY,14134,POINT (-78.514315 42.533721)
BROOME,646186,Nursery Stock Only,10 Acres or Less,,REYEX FARMS,COURTNEY JAMES,607-222-0357,579,DUNHAM HILL ROAD,,,CASTLE CREEK,NY,13744,POINT (-75.930993 42.238821)
ST. LAWRENCE,643607,Nursery Stock Only,10 Acres or Less,,PATRIOT GARDENS,"COLBY, FRANCIS E",315-375-6633,1111,NORTHUMBERLAND ST,,,MORRISTOWN,NY,13664,POINT (-75.65515 44.582702)
ULSTER,646179,Greenhouse Stock Only,,"2,000 SqFt of Glass or Less",HILLTOP ORGANICS,MERCI SCIARRINO,845-242-8989,8492,ROUTE 209,,,ELLENVILLE,NY,12428,POINT (-74.409488 41.695602)
ST. LAWRENCE,645721,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",R&R GREENHOUSE,RUEBEN J GRABER,,386,AUSTIN RIDGE ROAD,,,NORWOOD,NY,13668,POINT (-75.033253 44.751629)
RENSSELAER,645217,Nursery Stock Only,10 Acres or Less,,ACA LAWNSCAPE SUPPLY LLC,JASON COFFIN,518-753-0350,1724,ROUTE 67,,,VALLEY FALLS,NY,12185,POINT (-73.566434 42.908651)
HERKIMER,645996,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",GEOFFREY GILMORE,GEOFFREY GILMORE,315-823-0616,107,BROAT ROAD,,,LITTLE FALLS,NY,13365,POINT (-74.920772 43.03672)
WESTCHESTER,645286,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",WESTWOOD GARDEN NURSERY,DIANE D BRINK,914-632-6521,69,WESTWOOD AVENUE,,,NEW ROCHELLE,NY,10801,POINT (-73.801395 40.927688)
CHAUTAUQUA,66788,Nursery Stock Only,11-100 Acres,,DOUBLE A VINEYARDS INC,DOUBLE A VINEYARDS INC,716-672-8493,,STONE QUARRY ROAD CHRISTY ROAD,,,SHERIDAN,NY,14135,POINT (-79.237263 42.488391)
ERIE,644202,Nursery Stock Only,10 Acres or Less,,WESTERN NEW YORK HOSTA SOCIETY,WESTERN NY HOSTA SOCIETY,716-941-6167,8399,ZIMMERMAN RD,,,HAMBURG,NY,14075,POINT (-78.774579 42.654928)
ALLEGANY,644583,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",DIVERSIFIED ACRES,SIMON GIROD,,11101,FITCH FARM ROAD,,,FREEDOM,NY,14065,POINT (-78.205025 42.482909)
ONEIDA,645520,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",CANDELLAS FARM & GREENHOUSES,SHAWNA PAPALE AND MICHAEL CANDELLA,315-736-8782,9256,RIVER ROAD,,,MARCY,NY,13403,POINT (-75.275291 43.138182)
MONTGOMERY,645189,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",JOHN A. KING,JOHN A. KING,518-993-4937,276,FREYSBUSH ROAD,,,FORT PLAIN,NY,13339,POINT (-74.695026 42.923524)
MONROE,266434,Nursery Stock Only,10 Acres or Less,,DOBBERTIN ANNE M,DOBBERTIN ANNE M,585-533-2106,125,BIONDO COURT,,,RUSH,NY,14543,POINT (-77.667384 42.98455)
SUFFOLK,471448,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",M&F FARMS INC,FROEHLICH LAWRENCE,631-753-5153,68,HALF HOLLOW ROAD,,,MELVILLE,NY,11747,POINT (-73.399144 40.780857)
WAYNE,544400,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",MITCHELL CATHERINE,MITCHELL CATHERINE,239-464-8828,13550,RIDGE ROAD,,,RED CREEK,NY,13143,POINT (-76.742724 43.223641)
ONTARIO,645449,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",ZIMMERMAN FLOYD,FLOYD ZIMMERMAN,585-554-4295,4175,ROUTE 247,,,CANANDAIGUA,NY,14424,POINT (-77.214568 42.824339)
GREENE,191036,Greenhouse Stock Only,,"2,000 SqFt of Glass or Less",STEPHEN J. WALKER,WALKER STEPHEN J,518-734-3711,680,ROUTE 10,D/B/A KELLY GREEN,,WINDHAM,NY,12496,
WYOMING,645678,Nursery Stock Only,,,CLEAR CREEK DAHLIAS,KIMBERLY CHEIMIS,716-307-3480,44,LIBERTY STREET,,,ARCADE,NY,14009,POINT (-78.421523 42.532878000000004)
CORTLAND,114178,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",FROSTY MORNING FARM,FROST ALISON AND KARL,607-842-6799,4211,ROUTE 13,,,TRUXTON,NY,13158,POINT (-75.994791 42.713078)
PUTNAM,645762,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",SAN DAMIANO FARM,DENNIS POLANCO,845-335-1006,21,FRANCISCAN WAY,,,GARRISON,NY,10524,POINT (-73.924684 41.345336)
ONONDAGA,646371,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",HOLLY BERRY HILL,HOLLY COLEMAN,315-406-5253,1880,STATE ROUTE 80,,,TULLY,NY,13159,POINT (-76.218002 42.862466)
WAYNE,646265,Greenhouse Stock Only,,"2,000 SqFt of Glass or Less",EDLER ACRES,ELLEN EDLER,585-489-8110,5673,ARBOR RD,,,ONTARIO,NY,14519,POINT (-77.251896 43.206427)
ERIE,144895,Nursery Stock Only,10 Acres or Less,,BRUMBAUGH ROSALIE,BRUMBAUGH ROSALIE,716-445-5116,8599,SOUTH MAIN STREET,,,EDEN,NY,14057,POINT (-78.897177 42.651947)
DUTCHESS,135719,Nursery Stock Only,10 Acres or Less,,WALNUT GROVE FARM LLC,WALNUT GROVE FARM LLC,845-266-8999,59,WALNUT LANE,,,STAATSBURG,NY,12580,POINT (-73.838724 41.841846)
SENECA,645928,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",SAMUEL & SUSIE ELAINE HOOVER,SAMUEL & SUSIE ELAINE HOOVER,585-526-6851,5116,STATE ROUTE 14A,,,GENEVA,NY,14456,POINT (-77.068573 42.777576)
GENESEE,184348,Nursery Stock Only,11-100 Acres,,BATAVIA TURF LLC,BATAVIA TURF LLC,585-548-2552,,TRANSIT ROAD,,,ELBA,NY,14058,POINT (-78.163949 43.099707)
WYOMING,560547,Nursery Stock Only,11-100 Acres,,LUCZAKS EVERGREEN FARMS,LUCZAK ALEX A,585-493-5220,4616,WARSAW BOULEVARD,,,SILVER SPRINGS,NY,14550,
ONTARIO,644001,Nursery Stock Only,10 Acres or Less,,CAROL TEDESCO FARM,CAROL TEDESCO,585-355-8540,7155,ADAMS RD,,,HEMLOCK,NY,14466,POINT (-77.620513 42.798016)
OTSEGO,366532,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",PINE VIEW GREENHOUSE,MILLER ELI/CAROL,315-858-2089,263,DUGAN ROAD,,,RICHFIELD SPINGS,NY,13439,POINT (-75.035666 42.876304)
ALBANY,15169,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",HEWITTS GARDEN CENTER INC,HEWITTS GARDEN CENTER INC,518-399-4959,1969,WESTERN AVENUE,,,ALBANY,NY,12203,POINT (-73.878331 42.694082)
SARATOGA,644646,Nursery Stock Only,10 Acres or Less,,SARATOGA LAWN JOCKEY'S LLC,DALE BECKNER,518-414-6438,4755,ROUTE 50,,,GANSEVOORT,NY,12831,POINT (-73.663362 43.166747)
TOMPKINS,646010,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",GLASS HOUSE FARMS,WAYNE BISHOP,661-378-4555,10,PINCKNEY ROAD,,,ITHACA,NY,14850,POINT (-76.404511 42.471021)
ESSEX,646284,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",LITTLE WAGON ROADSIDE FARM STAND,DARREN DARRAH,,,RT 22,,,WILLSBORO,NY,12996,POINT (-73.404959 44.366265)
STEUBEN,644080,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",KC'S PRODUCE,MOLLY CLYMO,607-324-9967,8499,JONES RD,,,COHOCTON,NY,14826,POINT (-77.567981 42.410612)
ALLEGANY,645414,Greenhouse Stock Only,,"2,000 SqFt of Glass or Less",M&M PRODUCE,MAHLON & MIRIAM GIROD,NONE,7918,TUCKER HILL ROAD,,,HOUGHTON,NY,14744,POINT (-78.188361 42.424971)
SARATOGA,415195,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",HEWITTS GARDEN CENTER INC,HEWITTS GARDEN CENTER INC,518-399-4959,621,MAPLE AVENUE,,,SARATOGA SPRINGS,NY,12866,POINT (-73.769287 43.118686)
DELAWARE,646406,Combined Nursery and Greenhouse,11-100 Acres,"2,000 SqFt of Glass or Less",BROOKSIDE PLANT FARM LLC,TYLER EVANS,607-287-2279,3929,DRYDEN ROAD,,,WALTON,NY,13856,POINT (-75.218835 42.149807)
GENESEE,643910,Nursery Stock Only,10 Acres or Less,,VEGETAL ID INC,GAELLE BERGES,585-343-6400,7939,BANK ST ROAD,,,BATAVIA,NY,14020,POINT (-78.155055 43.02737)
ALBANY,644979,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less","DJH BONSAI, LLC",DAVID J. HODGETTS,518-380-4508,1793,TARRYTOWN ROAD,,,FEURA BUSH,NY,12067,POINT (-73.942706 42.556748000000006)
STEUBEN,462739,Nursery Stock Only,101 Acres or More,,YULE TREE FARMS,STUTZMAN DAN & CLAYTON,607-324-5374,720,OCONNOR RD RD#2,,,HORNELL,NY,14843,POINT (-77.703871 42.374601)
MONTGOMERY,644930,Nursery Stock Only,10 Acres or Less,,GLEN COTTAGE FARMS,GLEN COTTAGE FARM,518-428-2548,1535,STATE HWY 161,,,FULTONVILLE,NY,12072,POINT (-74.342478 42.894672)
MADISON,644927,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",DIZZY LIZZIE'S FARM,ELIZABETH ANN BLACKBURN,315-662-7565,3823,SANDERSON RD,,,ERIEVILLE,NY,13061,POINT (-75.743784 42.839341)
SCHENECTADY,646426,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",J. ADKINS CULTIVATION,JASON ADKINS,518-424-4050,3307,HAROLD STREET,,,SCHENECTADY,NY,12306,POINT (-73.990247 42.789102)
CAYUGA,645526,Greenhouse Stock Only,,"2,000 SqFt of Glass or Less",TURNER FARMS,ROBERT D. TURNER,315-569-6434,3166,LOCKWOOD ROAD,,,WEEDSPORT,NY,13166,POINT (-76.530627 43.121863)
SARATOGA,646096,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",EMERICHS MORNING GLORY FARM,ELIZABETH EMERICH,518-885-1819,307,MIDDLELINE ROAD,,,BALLSTON SPA,NY,12020,POINT (-73.881731 42.984665)
ALLEGANY,26851,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",BYLERS GREENHOUSE,BYLER CHRIS,,8389,ROUTE 305,,,BELFAST,NY,14711,POINT (-78.211822 42.282165)
SUFFOLK,473519,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",BOTANIC NURSERY INC,RONALD JAWIN,631-537-5017,120,MERCHANTS PATH,,,WAINSCOTT,NY,11975,POINT (-72.27154 40.978562)
ST. LAWRENCE,403807,Greenhouse Stock Only,,"20,001 SqFt of Glass or More",NEVER TIRE FARM,BOWDISH RAYMOND P,315-379-0908,496,MURPHY ROAD,,,LISBON,NY,13658,POINT (-75.2901 44.681318)
ORANGE,331005,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",SCHEUERMANN FARMS GRNHS,SCHEUERMANN ROBERT,845-258-4221,73,LITTLE YORK ROAD,,,WARWICK,NY,10990,POINT (-74.445587 41.29099)
SUFFOLK,475824,Combined Nursery and Greenhouse,10 Acres or Less,"20,001 SqFt of Glass or More",HALSEY FARM & NURSERY INC,HALSEY FARM & NRSY INC,631-726-4843,513,DEERFIELD ROAD,,,WATERMILL,NY,11976,POINT (-72.358068 40.922989)
MONROE,260327,Greenhouse Stock Only,,"20,001 SqFt of Glass or More",GENRICHS GARDEN CTR FLS,COOPER RD GDN CENTER INC,585-342-9830,,&GHSE 375 COOPER ROAD,,,ROCHESTER,NY,14617,POINT (-77.59799900000002 43.221623)
RENSSELAER,646378,Nursery Stock Only,10 Acres or Less,,GREENS AND THINGS LLC,VENN REDDY,518-369-6364,230,MARTHA HICKS RD,,,EAST NASSAU,NY,12062,POINT (-73.524756 42.511242)
SUFFOLK,644596,Greenhouse Stock Only,,"2,000 SqFt of Glass or Less",FIG TREES AND FLOWERS,THEORDA L. MAMATAS,631-902-2022,18,FRADELOS STREET,,,PORT JEFFERSON STA,NY,11776,POINT (-73.036456 40.932031)
ERIE,145312,Greenhouse Stock Only,,"20,001 SqFt of Glass or More",D&J BRAWDY FARMS INC,DENNIS BRAWDY,716-992-4194,8053,JENNINGS ROAD,,,EDEN,NY,14057,POINT (-78.87164700000001 42.665858)
SUFFOLK,643723,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",GAJESKI PRODUCE,BRIAN F GAJESKI,516-819-7099,1997,MAIN RD,,,LAUREL,NY,11948,POINT (-72.561154 40.968852)
ERIE,146942,Nursery Stock Only,11-100 Acres,,SCHICHTELS NURSERY INC,SCHICHTELS NURSERY INC,716-592-9383,11770,ROUTE 39,DENNIES FARM,,SARDINIA,NY,14030,POINT (-78.551395 42.517037)
ERIE,645480,Greenhouse Stock Only,,"2,000 SqFt of Glass or Less",KUMPF GREENHOUSES,DONNA KUMPF,716-542-4651,12966,STAGE ROAD,,,AKRON,NY,14001,POINT (-78.506951 42.984688)
TIOGA,645027,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",TERRYS BERRY FARM,TERESA BISHOP,607-972-7553,284,CHURCH ST,,,BARTON,NY,13734,POINT (-76.372274 42.031739)
YATES,645990,Greenhouse Stock Only,,"2,000 SqFt of Glass or Less",SENSENIG LAMAR & MIRIAM,LAMAR & MIRIAM SENSENIG,607-243-9564,5519,ROUTE 14A,,,DUNDEE,NY,14837,POINT (-76.975455 42.497929)
ONEIDA,300599,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",MUM FARM THE,COREY SHELLEY,315-737-5145,9011,RED HILL ROAD,,,NEW HARTFORD,NY,13413,POINT (-75.295176 43.034834)
WAYNE,645182,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",WINDY MEADOWS GREENHOUSE,ELIZABETH MILLER,,3610,ROUTE 14N,,,LYONS,NY,14489,
ULSTER,645625,Greenhouse Stock Only,,"2,000 SqFt of Glass or Less",JENKINS & LUEKEN ORCHARDS,ERIC JAMES,845-255-0999,69,YANKEE FOLLY ROAD,,,NEW PALTZ,NY,12561,POINT (-74.155011 41.73033)
NIAGARA,644740,Nursery Stock Only,10 Acres or Less,,BRADT TREE FARMS,RICHARD A. BRADT,716-754-4425,470,PLETCHER RD,,,LEWISTON,NY,14092,POINT (-79.03670700000002 43.203682)
SCHUYLER,644326,Nursery Stock Only,11-100 Acres,,ITS GREENER NOW - HIGH RIDGE FARMS,"WOJCIK, MARTIN",607-535-5525,2919,COUNTY ROUTE 23,,,WATKINS GLEN,NY,14891,
LIVINGSTON,241803,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",AMANDAS NATIVE GARDEN LLC,FOLTS ELLEN T,585-750-6288,8030,STORY ROAD,,,DANSVILLE,NY,14437,
MONROE,261939,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",OLDENBURGS FARM MARKET,OLDENBURG JOHN C III,585-451-9048,3408,ST PAUL BOULEVARD,,,ROCHESTER,NY,14617,POINT (-77.604977 43.218486)
CLINTON,91156,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",RULFS ORCHARD,RULFS ROBERT,518-643-8636,531,BEAR SWAMP ROAD,,,PERU,NY,12972,POINT (-73.497689 44.578706)
COLUMBIA,104623,Greenhouse Stock Only,,"2,000 SqFt of Glass or Less",SECRET GARDENER THE,EATON BENJAMIN G,518-822-0992,250,WARREN STREET,,,HUDSON,NY,12534,POINT (-73.791674 42.253334)
ERIE,146250,Greenhouse Stock Only,,"20,001 SqFt of Glass or More",AMOS ZITTEL &SONS INC,ZITTEL AMOS&SONS INC,716-649-6340,3065,BLEY RD,,,EDEN,NY,14057,POINT (-78.880632 42.681412)
ORANGE,645556,Greenhouse Stock Only,10 Acres or Less,"2,000 SqFt of Glass or Less",GOSHEN GREEN FARMS LLC,SUSAN HITO SHAPIRO,845-371-2100,3301A,ROUTE 207,,,GOSHEN,NY,10924,POINT (-74.30316 41.422765)
ERIE,643962,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",LLENROC LANDSCAPING INC,MICHAEL J TELBAN,716-652-8969,11753,E MAIN ST,,,EAST AURORA,NY,14052,
ALBANY,645646,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",WINDY HILL FARM,GEORGE MARIANI,518-330-9505,531,KRUMKILL ROAD,,,ALBANY,NY,12203,POINT (-73.854783 42.66596)
SUFFOLK,643845,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",PANTALEONS FARM INC,JUAN C PANTALEON,631-608-8331,445,25A,,,EAST SETAUKET,NY,11733,POINT (-73.085915 40.9455)
WESTCHESTER,644391,Greenhouse Stock Only,10 Acres or Less,"2,001-20,000 SqFt of Glass",FRIENDS OF HILLTOP HANOVER FARM INC,FRIENDS OF HILLTOP HANOVER FARM INC,914-962-2368,1271,HANOVER ST,,,YORKTOWN HEIGHTS,NY,10598,POINT (-73.772402 41.251636)
WESTCHESTER,644132,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",COPIA MARKETS CORPORATION,PIETRO CIPRIANO JR,914-533-7242,475,SMITH RIDGE RD,,,SOUTH SALEM,NY,10590,POINT (-73.510311 41.202863)
SCHOHARIE,430554,Greenhouse Stock Only,10 Acres or Less,"2,001-20,000 SqFt of Glass",HILLHAVEN FARMS,JACOBSON RICHARD & JANE,607-652-2164,181,PERAGLIE ROAD,,,JEFFERSON,NY,12093,POINT (-74.614267 42.523625)
ORLEANS,344626,Nursery Stock Only,10 Acres or Less,,JAMES RITCHIE,RITCHIE JAMES,716-638-8202,17045,RIDGE ROAD,,,HOLLEY,NY,14470,POINT (-78.014958 43.260375)
COLUMBIA,106354,Nursery Stock Only,101 Acres or More,,MAPLE LANE NURSERY,ASSOCIATED FRUIT GROWERS INC,518-758-7677,,ROUTE 28,,,VALATIE,NY,12184,POINT (-73.658014 42.424589)
RENSSELAER,387054,Nursery Stock Only,11-100 Acres,,SARATOGA SOD FARM INC,SARATPGA SPD FARM INC,518-664-5038,647,STILLWATER BRIDGE ROAD,,,SCHAGHTICOKE,NY,12154,POINT (-73.632044 42.922104)
WAYNE,545947,Nursery Stock Only,10 Acres or Less,,JUDYS FRUITS VEG FLWRS,JUDY PICKARD AND DAVID R PICKARD JR,315-587-9052,9046,CATCHPOLE ROAD,,,NORTH ROSE,NY,14516,POINT (-76.952403 43.171681)
STEUBEN,644780,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",MAPLE VALLEY FARM,SAMUEL & MAGDALENA MILLER,,4541,OLD STATE ROUTE,,,WOODHULL,NY,14898,POINT (-77.468824 42.104337)
MONTGOMERY,645139,Greenhouse Stock Only,,"2,000 SqFt of Glass or Less",ABUNDANCE ACRES FARM,PAMELA D MACKENZIE AND CHRISTOPHER C NOV,518-993-3866,957,STONE ARABIA RD,,,FORT PLAIN,NY,13339,POINT (-74.546475 42.955024)
COLUMBIA,646305,Nursery Stock Only,10 Acres or Less,,LIBERTY FARMS,MARK CHEFFO,917-514-2020,114,OSTRANDER RD,,,GHENT,NY,12075,POINT (-73.683995 42.28887)
ONONDAGA,644862,Nursery Stock Only,10 Acres or Less,,SAM VAN AKEN,SAM VAN AKEN,,1075,COMSTOCK AVE,,,SYRACUSE,NY,13244,POINT (-76.128907 43.026557000000004)
SUFFOLK,472791,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",PRIANTI FARMS INC,PRIANTI FARMS INC,631-499-0772,47,EAST DEER PARK ROAD,,,DIX HILLS,NY,11746,POINT (-73.336586 40.833624)
NIAGARA,646070,Greenhouse Stock Only,,"2,000 SqFt of Glass or Less",R KUMMER,RAYMOND KUMMER,716-777-2423,2778,YOUNGSTOWN-LOCKPORT ROAD,,,RANSOMVILLE,NY,14131,POINT (-78.894877 43.233096)
CAYUGA,646131,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",PLANTS UNLIMITED LLC,SETH CURRIE,607-279-9159,6255,DRESSERVILLE RD,,,MORAVIA,NY,13118,POINT (-76.329723 42.704602)
SUFFOLK,472406,Greenhouse Stock Only,,"20,001 SqFt of Glass or More",WHITE POST PROPERTY LLC,WHITE POST PROPERTY LLC,631-427-3464,250,OLD COUNTRY ROAD,,,MELVILLE,NY,11746,POINT (-73.407905 40.795477)
YATES,645495,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",ZIMMERMAN JERRY,JERRY ZIMMERMAN,607-243-9496,150,PUTNAM ROAD,,,DUNDEE,NY,14837,POINT (-76.920103 42.548979)
ONONDAGA,646052,Nursery Stock Only,10 Acres or Less,,BLOOMS FLOWER FARM,RICHARD POPOV,315-673-2092,3243,FOX ROAD,,,SYRACUSE,NY,13215,POINT (-76.258389 42.932735)
SUFFOLK,645447,Nursery Stock Only,10 Acres or Less,,NOON CONSULTING,SHARON NOON,870-321-2705,17,MIDDLE COUNTRY ROAD,,,MIDDLE ISLAND,NY,11953,POINT (-72.975345 40.875454)
ERIE,146657,Combined Nursery and Greenhouse,10 Acres or Less,"20,001 SqFt of Glass or More",BUFFALO & ERIE COUNTY BOTANICAL GARDEN SOCIETY,BUFFALO & ERIE COUNTY BOTANICAL GARDEN,716-827-1584,2655,SOUTH PARK AVE,,,BUFFALO,NY,14220,POINT (-78.823983 42.827629)
ULSTER,645656,Nursery Stock Only,10 Acres or Less,,FARM FRESH CARRIBEAN GROWERS,DELROY HENNINGHAM,845-591-3334,134,SOUTH OHIOVILLE ROAD,,,NEW PALTZ,NY,12561,POINT (-74.062978 41.72461)
FRANKLIN,645281,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",SUNNY RIDGE GREENHOUSE,ELON ZIMMERMAN,518-483-0402,1997,STATE ROUTE 11B,,,NORTH BANGOR,NY,12966,POINT (-74.446798 44.800987)
SUFFOLK,472466,Nursery Stock Only,11-100 Acres,,SAMS BARGAIN CENTER INC,SAMS BARGAIN CENTER INC,631-878-2889,,HEAD OF NECK ROAD,,,MANORVILLE,NY,11949,POINT (-72.789301 40.85473)
CHAUTAUQUA,65915,Nursery Stock Only,10 Acres or Less,,BOCES ERIE-CATTARAUGUS LOGUID ED CTR,GUIFFREDA ROBERT,716-549-4454,9520,FRED STOCK.,,,FREDONIA,NY,14063,
LIVINGSTON,243002,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",ARBOR FARMS,"BENEDICT ARTHUR,DOUGLAS,RUTH",585-729-2895,814,QUARRY ROAD,,,CALEDONIA,NY,14423,POINT (-77.82779 42.950845)
DUTCHESS,133506,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",TWIN PONDS NURSERY,CRAWFORD MARGARET,845-206-1046,37-39,RED TAIL ROAD,,,RHINEBECK,NY,12572,POINT (-73.912265 41.895212)
SULLIVAN,645903,Greenhouse Stock Only,,"2,000 SqFt of Glass or Less",BEAMOC INC DBA WILL HARDWARE,JOHN CHECCHIA,845-439-4480,61,MAIN STREET,,,LIVINGSTON MANOR,NY,12758,POINT (-74.827812 41.900777000000005)
OTSEGO,361199,Nursery Stock Only,10 Acres or Less,,WILD FLORAL WONDERS SEEDLINGS,CHAPPELLE HEDDI,607-638-6059,141,MAIN STREET,,,SCHENEVUS,NY,12155,POINT (-74.819972 42.549114)
SUFFOLK,644614,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",KALERS FARM & GREENHOUSE,JAMES W. KALER,631-587-2902,164,LITTLE EAST NECK RD,,,WEST BABYLON,NY,11704,POINT (-73.33793 40.697955)
SUFFOLK,475818,Nursery Stock Only,11-100 Acres,,GREENLAWN SOD FARMS INC,GREENLAWN SOD FARMS INC,631-929-4900,1025,EDWARDS AVENUE,,,CALVERTON,NY,11933,POINT (-72.749206 40.939333)
ERIE,646093,Greenhouse Stock Only,,"2,000 SqFt of Glass or Less",PUT A PLANT ON IT INC,JOHANNA DOMINGUEZ,,131,MARINER ST,,,BUFFALO,NY,14201,POINT (-78.878111 42.90049)
ROCKLAND,643698,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",ASCAPE LANDSCAPE & CONST. CORP,STUART CHAITIN,845-353-6500,634,ROUTE 303,,,BLAUVELT,NY,10913,POINT (-73.948381 41.082080000000005)
MADISON,645988,Greenhouse Stock Only,,"2,000 SqFt of Glass or Less",LOCAL ROOTS FARM,JAMES & ADA YODER,315-655-1043,2869,FENNER ROAD,,,CAZENOVIA,NY,13035,POINT (-75.803918 42.944367)
SENECA,644641,Greenhouse Stock Only,10 Acres or Less,"2,001-20,000 SqFt of Glass",PEACHEY PRODUCE,JONAS AND FANNIE PEACHEY,607-869-5695,5461,RTE 414,,,ROMULUS,NY,14541,POINT (-76.816845 42.760604)
ALLEGANY,645791,Greenhouse Stock Only,,"2,000 SqFt of Glass or Less",WAGONER BEES + PRODUCE,TERRY WAGONER,585-610-8836,11137,WAYNE ROAD,,,FILLMORE,NY,14735,POINT (-78.090628 42.480945)
ONEIDA,303607,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",SZAREKS GREENHOUSES,SZAREK BERNARD,315-853-5901,7443,EAST SOUTH STREET,,,CLINTON,NY,13323,POINT (-75.393334 43.093192)
TOMPKINS,645650,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",UNDER THE TREE,SCOTT GAASBECK,607-203-0110,58,MIDDAUGH ROAD,,,BROOKTONDALE,NY,14817,POINT (-76.412949 42.384857)
