LOCAL HEALTH UNIT,OPERATION NAME,ADDRESS,CITY,STATE,ZIP,MUNICIPALITY,COUNTY,VENDOR TYPE,CREATION DATE,LOCATION
MONROE,SPEEDWAY LLC,4350 DEWEY AVENUE,ROCHESTER,NY,14616,GREECE,MONROE,CONVENIENCE/GAS,11/10/2020,"4350 DEWEY AVENUE
ROCHESTER, NY 14616
(43.251039019000075, -77.64630597899998)"
SUFFOLK,SUFFOLK VAPE & SMOKE,165 TERRY RD,SMITHTOWN,NY,11787,SMITHTOWN,SUFFOLK,TOBACCO RETAIL,11/10/2020,"165 TERRY RD
SMITHTOWN, NY 11787
(40.84603400000003, -73.16839197299998)"
ONEIDA,SABATINO'S FOOD CORP.,1606 WHITESBORO STREET,UTICA,NY,13502,UTICA,ONEIDA,CONVENIENCE STORE,11/10/2020,"1606 WHITESBORO STREET
UTICA, NY 13502
(43.10825822400005, -75.25635418099995)"
NYC,EL NUEVO PUEBLO INC.,4921 5TH AVENUE,BROOKLYN,NY,11220,BROOKLYN,NEW YORK CITY,CONVENIENCE STORE,11/10/2020,"4921 5TH AVENUE
BROOKLYN, NY 11220
(40.645160014000055, -74.01004896199998)"
WATERTOWN DO,DOLLAR GENERAL-SACKETS,17953 COUNTY RD. 75 ROAD,SACKETS HARBOR,NY,13685,HOUNSFIELD,JEFFERSON,DISCOUNT STORE,11/10/2020,"17953 COUNTY RD. 75 ROAD
SACKETS HARBOR, NY 13685
(43.92761093300004, -76.10849118899995)"
ONEONTA DO,DOLLAR GENERAL - ATHENS #16748,9718 NYS ROUTE 9W,ATHENS,NY,12015,ATHENS,GREENE,CONVENIENCE STORE,11/10/2020,"9718 NYS ROUTE 9W
ATHENS, NY 12015
(42.289549984000075, -73.85234001699996)"
NYC,960 SUMMER DELI GROCERY CORP,960 DEKALB AVENUE,BROOKLYN,NY,11221,BROOKLYN,NEW YORK CITY,GROCERY SUPERMARKET,11/10/2020,"960 DEKALB AVENUE
BROOKLYN, NY 11221
(40.69292998900005, -73.93686296099997)"
GENEVA DO,RED APPLE / KWIK FILL A0051,227 LAKE STREET,PENN YAN,NY,14527,BENTON,YATES,CONVENIENCE/GAS,11/10/2020,"227 LAKE STREET
PENN YAN, NY 14527
(42.65475420800004, -77.05756223399999)"
NYC,ISHIA NEWSTAND CORP,3102 30TH AVENUE,ASTORIA,NY,11102,QUEENS,NEW YORK CITY,GROCERY SUPERMARKET,11/10/2020,"3102 30TH AVENUE
ASTORIA, NY 11102
(40.76671001500006, -73.92130899899996)"
NYC,SAINT MARY CORP,4882 ARTHUR KILL ROAD,STATEN ISLAND,NY,10309,STATEN ISLAND,NEW YORK CITY,CONVENIENCE STORE,11/10/2020,"4882 ARTHUR KILL ROAD
STATEN ISLAND, NY 10309
(40.523090000000025, -74.23879503899997)"
MONROE,JIM'S STOP N SHOP,872 JAY STREET,ROCHESTER,NY,14611,ROCHESTER,MONROE,BAR/LOUNGE,11/10/2020,"872 JAY STREET
ROCHESTER, NY 14611
(43.15943600800006, -77.64432499999998)"
NYC,IKRAVEIT FOODS MARKET CORP,3402 30TH  STREET,ASTORIA,NY,11106,NEW YORK CITY,NEW YORK CITY,GROCERY SUPERMARKET,11/10/2020,"3402 30TH  STREET
ASTORIA, NY 11106
(40.759970001000056, -73.92825499799994)"
NYC,Z & S DELI INC,1474 YORK  AVENUE,NEW YORK,NY,10021,MANHATTAN,NEW YORK CITY,GROCERY SUPERMARKET,11/10/2020,"1474 YORK  AVENUE
NEW YORK, NY 10021
(40.77085000500006, -73.95059696099997)"
NYC,"RODRIGUEZ, JOSE D",1195 BUSHWICK AVENUE,BROOKLYN,NY,11221,BROOKLYN,NEW YORK CITY,GROCERY SUPERMARKET,11/10/2020,"1195 BUSHWICK AVENUE
BROOKLYN, NY 11221
(40.68857999100004, -73.91615597199996)"
TOMPKINS,MIRABATO 46,301 PINE TREE ROAD,ITHACA,NY,14850,ITHACA,TOMPKINS,CONVENIENCE/GAS,11/10/2020,"301 PINE TREE ROAD
ITHACA, NY 14850
(42.43663998000005, -76.46438998899998)"
GLENS FALLS DO,COBBLE POND FARMS-SUNOCO,601 PLANK ROAD,CLIFTON PARK,NY,12065,CLIFTON PARK,SARATOGA,CONVENIENCE/GAS,11/10/2020,"601 PLANK ROAD
CLIFTON PARK, NY 12065
(42.86301498900008, -73.77800896499997)"
NYC,"AL RUFAI, SAMIR M.N.",706 EAST 138TH STREET,BRONX,NY,10454,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,11/10/2020,"706 EAST 138TH STREET
BRONX, NY 10454
(40.80482998900004, -73.91320001099996)"
ONONDAGA,CITGO,452 GRANT  BOULEVARD,SYRACUSE,NY,13206,SYRACUSE,ONONDAGA,CONVENIENCE/GAS,11/10/2020,"452 GRANT  BOULEVARD
SYRACUSE, NY 13206
(43.07237900500007, -76.12262299999998)"
NYC,EZDAY INC.,4719 QUEENS BOULEVARD,SUNNYSIDE,NY,11104,QUEENS,NEW YORK CITY,GROCERY SUPERMARKET,11/10/2020,"4719 QUEENS BOULEVARD
SUNNYSIDE, NY 11104
(40.743269981000026, -73.91710103199995)"
ONEIDA,DOLLAR GENERAL,96 EAST STATE STREET,SHERRILL,NY,13461,SHERRILL,ONEIDA,DISCOUNT STORE,11/10/2020,"96 EAST STATE STREET
SHERRILL, NY 13461
(43.07550487200007, -75.59360148699994)"
WESTCHESTER,ANELIS DELI CORP.,497 VAN CORTLANDT PARK AVENUE,YONKERS,NY,10705,YONKERS,WESTCHESTER,DELICATESSEN,11/10/2020,"497 VAN CORTLANDT PARK AVENUE
YONKERS, NY 10705
(40.915769004000026, -73.89261698999996)"
CHAUTAUQUA,DOLLAR GENERAL #18496,4484  ROUTE 430,BEMUS POINT,NY,14712,ELLERY,CHAUTAUQUA,CONVENIENCE STORE,11/10/2020,"4484  ROUTE 430
BEMUS POINT, NY 14712
(42.18299026200003, -79.40497931299996)"
ORANGE,STOP & SHOP #523,475 ROUTE 17M,MONROE,NY,10950,MONROE,ORANGE,GROCERY SUPERMARKET,11/10/2020,"475 ROUTE 17M
MONROE, NY 10950
(41.318222983000055, -74.17711102099997)"
OSWEGO,HEAGERTY'S HOT SPOT,202 W FIRST STREET,OSWEGO,NY,13126,OSWEGO,OSWEGO,OTHER,11/10/2020,"202 W FIRST STREET
OSWEGO, NY 13126
(43.455992981000065, -76.51119202199999)"
WESTCHESTER,LUCKY'S DELI & GROCERY CORP.,167 EAST THIRD STREET,MT. VERNON,NY,10550,MT. VERNON,WESTCHESTER,DELICATESSEN,11/10/2020,"167 EAST THIRD STREET
MT. VERNON, NY 10550
(40.90855499300005, -73.82849098799994)"
NYC,"SANDHU, NACHHATTER S.",N/W/C EAST 56TH ST & 3RD AVENUE,NEW YORK,NY,10022,MANHATTAN,NEW YORK CITY,STAND,11/10/2020,"N/W/C EAST 56TH ST & 3RD AVENUE
NEW YORK, NY 10022
(40.75959005000004, -73.96800994599994)"
NYC,D. G. GROCERY CORP,528 MORRIS AVENUE,BRONX,NY,10451,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,11/10/2020,"528 MORRIS AVENUE
BRONX, NY 10451
(40.81698001900003, -73.92277398799996)"
WESTCHESTER,EKAM SHOP DELI GROCERY CORP.,501 SOUTH FIFTH AVENUE,MT. VERNON,NY,10550,MT. VERNON,WESTCHESTER,DELICATESSEN,11/10/2020,"501 SOUTH FIFTH AVENUE
MT. VERNON, NY 10550
(40.899155988000075, -73.83312802499995)"
NYC,LUKE'S LOUNGE INC.,1808 HONE AVENUE,BRONX,NY,10461,BRONX,NEW YORK CITY,CONVENIENCE STORE,11/10/2020,"1808 HONE AVENUE
BRONX, NY 10461
(40.84915998900004, -73.85478099499994)"
ERIE,ANGOLA GIFT SHOP,N. Y. STATE THRUWAY HIGHWAY,ANGOLA,NY,14006,EVANS,ERIE,OTHER,11/10/2020,"N. Y. STATE THRUWAY HIGHWAY
ANGOLA, NY 14006
(42.59125593600004, -79.05185421399995)"
ONEONTA DO,SMOKER'S CHOICE,STATE HIGHWAY 23,ONEONTA,NY,13820,ONEONTA,OTSEGO,TOBACCO RETAIL,11/10/2020,"STATE HIGHWAY 23
ONEONTA, NY 13820
(42.49713789700007, -75.12568320899999)"
NASSAU,SPEEDWAY ( STATION # 07635 ) / SPEEDWAY LLC,4295 AUSTIN  BOULEVARD,ISLAND PARK,NY,11558,HEMPSTEAD,NASSAU,CONVENIENCE/GAS,11/10/2020,"4295 AUSTIN  BOULEVARD
ISLAND PARK, NY 11558
(40.60506501300006, -73.64936996899996)"
ERIE,FAIMLY DOLLAR # 4516,1000 HERTEL  AVENUE,BUFFALO,NY,14216,BUFFALO,ERIE,DISCOUNT STORE,11/10/2020,"1000 HERTEL  AVENUE
BUFFALO, NY 14216
(42.94836598100005, -78.87094302099996)"
NYC,GOWANUS GROCERS LLC,414 4TH  AVENUE,BROOKLYN,NY,11215,BROOKLYN,NEW YORK CITY,GROCERY SUPERMARKET,11/10/2020,"414 4TH  AVENUE
BROOKLYN, NY 11215
(40.671739993000074, -73.98783096799997)"
SUFFOLK,MOBIL,1490 ISLIP AVE,BRENTWOOD,NY,11717,ISLIP,SUFFOLK,CONVENIENCE/GAS,11/10/2020,"1490 ISLIP AVE
BRENTWOOD, NY 11717
(40.777007980000064, -73.21581996699996)"
LIVINGSTON,BELT IN THE EYE TOBACCO,6  OSSIAN STREET,DANSVILLE,NY,14437,N. DANSVILLE,LIVINGSTON,TOBACCO RETAIL,11/10/2020,"6  OSSIAN STREET
DANSVILLE, NY 14437
(42.56097000700004, -77.69666001099995)"
ROCKLAND,GULF PEARL RIVER (DOWNTOWN),202 EAST CENTRAL  AVENUE,PEARL RIVER,NY,10965,ORANGETOWN,ROCKLAND,CONVENIENCE/GAS,11/10/2020,"202 EAST CENTRAL  AVENUE
PEARL RIVER, NY 10965
(41.059542993000036, -74.01284902099997)"
NYC,M & B GROCERY CORP,1435 CENTRAL AVENUE,FAR ROCKAWAY,NY,11691,QUEENS,NEW YORK CITY,GROCERY SUPERMARKET,11/10/2020,"1435 CENTRAL AVENUE
FAR ROCKAWAY, NY 11691
(40.605840003000026, -73.75098202099997)"
WESTCHESTER,PALISADE FUEL INC.,34 BROADWAY,VALHALLA,NY,10595,MT. PLEASANT,WESTCHESTER,CONVENIENCE/GAS,11/10/2020,"34 BROADWAY
VALHALLA, NY 10595
(41.07423102100006, -73.77338902699995)"
ALLEGANY,TOPS #249,111 BOLIVAR ROAD,WELLSVILLE,NY,14895,WELLSVILLE,ALLEGANY,GROCERY SUPERMARKET,11/10/2020,"111 BOLIVAR ROAD
WELLSVILLE, NY 14895
(42.12704499800003, -77.96296397099997)"
NYC,"51ST STREET FOOD MARKET, INC",721 11TH AVENUE,NEW YORK,NY,10019,MANHATTAN,NEW YORK CITY,GROCERY SUPERMARKET,11/10/2020,"721 11TH AVENUE
NEW YORK, NY 10019
(40.76668000800004, -73.99427396899995)"
WESTCHESTER,"S & J CLOTHING, INC.",6 FRONTAGE STREET,ELMSFORD,NY,10523,GREENBURGH,WESTCHESTER,OTHER,11/10/2020,"6 FRONTAGE STREET
ELMSFORD, NY 10523
(41.05747500900003, -73.81635600399994)"
ONEONTA DO,PRICE CHOPPER #218,3 MAIN STREET,DELHI,NY,13753,DELHI,DELAWARE,GROCERY SUPERMARKET,11/10/2020,"3 MAIN STREET
DELHI, NY 13753
(42.26840998600005, -74.92204998399995)"
NYC,ACATLAN FOOD INC,585 MIDLAND  AVENUE,STATEN ISLAND,NY,10306,STATEN ISLAND,NEW YORK CITY,GROCERY SUPERMARKET,11/10/2020,"585 MIDLAND  AVENUE
STATEN ISLAND, NY 10306
(40.57240999800007, -74.09272998299997)"
ONEIDA,PRICE CHOPPER #206,1790 BLACK RIVER  BOULEVARD,ROME,NY,13440,ROME,ONEIDA,GROCERY SUPERMARKET,11/10/2020,"1790 BLACK RIVER  BOULEVARD
ROME, NY 13440
(43.232589990000065, -75.43598998099998)"
ONEIDA,CHANATRY'S MARKET INC,458 FRENCH RD ROAD,UTICA,NY,13501,UTICA,ONEIDA,GROCERY SUPERMARKET,11/10/2020,"458 FRENCH RD ROAD
UTICA, NY 13501
(43.084808887000065, -75.28103698099994)"
NYC,"BATISTA, FAUSTO",210-12 MURDOCK AVENUE,CAMBRIA HEIGHTS,NY,11411,QUEENS,NEW YORK CITY,GROCERY SUPERMARKET,11/10/2020,"210-12 MURDOCK AVENUE
CAMBRIA HEIGHTS, NY 11411
(40.70252001800003, -73.74448403399998)"
NYC,M & M FRUIT INC,1366 YORK AVENUE,NEW YORK,NY,10021,MANHATTAN,NEW YORK CITY,GROCERY SUPERMARKET,11/10/2020,"1366 YORK AVENUE
NEW YORK, NY 10021
(40.76729000100005, -73.95319803299998)"
NYC,NARA CONVENIENCE CORP.,6694 FOREST AVENUE,RIDGEWOOD,NY,11385,QUEENS,NEW YORK CITY,GROCERY SUPERMARKET,11/10/2020,"6694 FOREST AVENUE
RIDGEWOOD, NY 11385
(40.70495999000008, -73.90216003799998)"
NASSAU,APPLEGREEN / CONVENIENCE STORE / PETROGAS GROUP U,118 NEWBRIDGE ROAD,HICKSVILLE,NY,11801,OYSTER BAY,NASSAU,CONVENIENCE/GAS,11/10/2020,"118 NEWBRIDGE ROAD
HICKSVILLE, NY 11801
(40.76359701800004, -73.52773396899994)"
NYC,D M OIL CORP,138-98 QUEENS  BOULEVARD,JAMAICA,NY,11435,QUEENS,NEW YORK CITY,GROCERY SUPERMARKET,11/10/2020,"138-98 QUEENS  BOULEVARD
JAMAICA, NY 11435
(40.70648000600005, -73.81739795899995)"
WESTCHESTER,YK CHOICE DELICATESSENS CORP.,102 DRAKE AVENUE,NEW ROCHELLE,NY,10801,NEW ROCHELLE,WESTCHESTER,DELICATESSEN,11/10/2020,"102 DRAKE AVENUE
NEW ROCHELLE, NY 10801
(40.90000700200005, -73.78699101199999)"
ERIE,KK FOOD MART,3846 SOUTHWESTERN BOULEVARD,ORCHARD PARK,NY,14127,ORCHARD PARK,ERIE,CONVENIENCE STORE,11/10/2020,"3846 SOUTHWESTERN BOULEVARD
ORCHARD PARK, NY 14127
(42.77871399800006, -78.78904998199994)"
WESTCHESTER,FELIX GROCERY CORP.,96 PURDY AVENUE,PORT CHESTER,NY,10573,RYE,WESTCHESTER,GROCERY SUPERMARKET,11/10/2020,"96 PURDY AVENUE
PORT CHESTER, NY 10573
(40.99717798700004, -73.66391198399998)"
NYC,ASSARY GROCERY CORP,343 SAINT NICHOLAS  AVENUE,NEW YORK,NY,10027,MANHATTAN,NEW YORK CITY,GROCERY SUPERMARKET,11/10/2020,"343 SAINT NICHOLAS  AVENUE
NEW YORK, NY 10027
(40.81234998100007, -73.95140103699998)"
NYC,"H&R CONVENIENCE, INC",2327 30TH  AVENUE,ASTORIA,NY,11102,QUEENS,NEW YORK CITY,GROCERY SUPERMARKET,11/10/2020,"2327 30TH  AVENUE
ASTORIA, NY 11102
(40.76894002100005, -73.92544999399996)"
ERIE,HAMPSHIRE EXPRESS,170 HAMPSHIRE  STREET,BUFFALO,NY,14213,BUFFALO,ERIE,CONVENIENCE STORE,11/10/2020,"170 HAMPSHIRE  STREET
BUFFALO, NY 14213
(42.911628016000066, -78.89512598499994)"
NYC,ELIS GROCERY CORP.,102-01 37TH AVENUE,CORONA,NY,11368,QUEENS,NEW YORK CITY,GROCERY SUPERMARKET,11/10/2020,"102-01 37TH AVENUE
CORONA, NY 11368
(40.75312001700007, -73.86533599099994)"
MONROE,SAN JUAN GROCERY,446  JAY  STREET,ROCHESTER,NY,14611,ROCHESTER,MONROE,GROCERY SUPERMARKET,11/10/2020,"446  JAY  STREET
ROCHESTER, NY 14611
(43.15957200400004, -77.63215397399995)"
DUTCHESS,FISHKILL - MOBIL,823 ROUTE 52,FISHKILL,NY,12524,FISHKILL,DUTCHESS,CONVENIENCE STORE,11/10/2020,"823 ROUTE 52
FISHKILL, NY 12524
(41.526289020000036, -73.92072201399998)"
NYC,TASTY DELI SUPERMARKET INC,2381 86TH  STREET,BROOKLYN,NY,11214,BROOKLYN,NEW YORK CITY,GROCERY SUPERMARKET,11/10/2020,"2381 86TH  STREET
BROOKLYN, NY 11214
(40.599470008000026, -73.98938597799997)"
NYC,COLLEGE PEN & STATIONERY INC.,144 BLEECKER STREET,NEW YORK,NY,1001,MANHATTAN,NEW YORK CITY,CONVENIENCE STORE,11/10/2020,"144 BLEECKER STREET
NEW YORK, NY 1001
(40.72811001000008, -73.99928902899995)"
NYC,25TH ASTORIA BEGEL & PIZZA INC,25-08 31ST STREET,ASTORIA,NY,11102,QUEENS,NEW YORK CITY,RESTAURANT/ATUPA,11/10/2020,"25-08 31ST STREET
ASTORIA, NY 11102
(40.770219979000046, -73.91819403199997)"
SUFFOLK,LA PLANCITA #2,1563 ISLIP AVE,CENTRAL ISLIP,NY,11722,ISLIP,SUFFOLK,CONVENIENCE STORE,11/10/2020,"1563 ISLIP AVE
CENTRAL ISLIP, NY 11722
(40.780958052000074, -73.21731191899994)"
NYC,"PATEL, BAKUL",S/E/C BROADWAY & W 56TH STREET,NEW YORK,NY,10019,MANHATTAN,NEW YORK CITY,GROCERY SUPERMARKET,11/10/2020,"S/E/C BROADWAY & W 56TH STREET
NEW YORK, NY 10019
(40.76545004800005, -73.98194988899996)"
ONEIDA,FAMILY DOLLAR STORE #2114,261 UTICA BOULEVARD,BOONVILLE,NY,13309,BOONVILLE,ONEIDA,DISCOUNT STORE,11/10/2020,"261 UTICA BOULEVARD
BOONVILLE, NY 13309
(43.47594381300007, -75.31908593899993)"
WESTCHESTER,"YORKTOWN MOBIL FOOD MART, INC.",2035 SAW MILL RIVER ROAD,YORKTOWN HEIGHTS,NY,10598,YORKTOWN,WESTCHESTER,CONVENIENCE/GAS,11/10/2020,"2035 SAW MILL RIVER ROAD
YORKTOWN HEIGHTS, NY 10598
(41.27727902100003, -73.78245698899997)"
NASSAU,TWO BROTHERS DELI & GROCERY / TWO BROTHERS DELI &,814 NASSAU ROAD,UNIONDALE,NY,11553,HEMPSTEAD,NASSAU,DELICATESSEN,11/10/2020,"814 NASSAU ROAD
UNIONDALE, NY 11553
(40.690770015000055, -73.59926404099997)"
NYC,CLOUD BEAST INC,2205 35TH STREET,ASTORIA,NY,1110,QUEENS,NEW YORK CITY,CONVENIENCE STORE,11/10/2020,"2205 35TH STREET
ASTORIA, NY 1110
(40.77469278500007, -73.90900002899997)"
NYC,ARCANGEL DELI GROCERY CORP.,4004 14TH AVENUE,BROOKLYN,NY,11218,BROOKLYN,NEW YORK CITY,GROCERY SUPERMARKET,11/10/2020,"4004 14TH AVENUE
BROOKLYN, NY 11218
(40.63868000700006, -73.98493501999997)"
HERKIMER DO,COVERED BRIDGE CONVENIENCE,2457 STATE HWY 29,SALISBURY CENTER,NY,13454,SALISBURY,HERKIMER,CONVENIENCE STORE,11/10/2020,"2457 STATE HWY 29
SALISBURY CENTER, NY 13454
(43.141736234000064, -74.79163720799994)"
SUFFOLK,ALINA'S CARD SMART,217 MIDDLE COUNTRY RD ROAD,SELDEN,NY,11784,BROOKHAVEN,SUFFOLK,STATIONERY STORE,11/10/2020,"217 MIDDLE COUNTRY RD ROAD
SELDEN, NY 11784
(40.86800380100004, -73.02187676099999)"
NYC,BEST MARKET & DELI INC,8477 PARSONS BOULEVARD,JAMAICA,NY,11432,QUEENS,NEW YORK CITY,CONVENIENCE STORE,11/10/2020,"8477 PARSONS BOULEVARD
JAMAICA, NY 11432
(40.712160003000065, -73.80635203499997)"
NYC,MWDBC STORE 6 LLC,4084 BROADWAY,NEW YORK,NY,10032,MANHATTAN,NEW YORK CITY,CONVENIENCE STORE,11/10/2020,"4084 BROADWAY
NEW YORK, NY 10032
(40.84416999100006, -73.93876196499997)"
NYC,"PATEL, RAMAN M & PATEL TRUSHAR",250 GREENWICH  STREET,NEW YORK,NY,10007,MANHATTAN,NEW YORK CITY,STAND,11/10/2020,"250 GREENWICH  STREET
NEW YORK, NY 10007
(40.71337001400008, -74.01180396499996)"
GLENS FALLS DO,FAMILY DOLLAR STORES,3834 MAIN STREET,WARRENSBURG,NY,12885,WARRENSBURG,WARREN,DISCOUNT STORE,11/10/2020,"3834 MAIN STREET
WARRENSBURG, NY 12885
(43.49570400700003, -73.77267396699995)"
PUTNAM,T&J FOOD MART (SUNOCO),2 DYKEMAN RD,CARMEL,NY,10512,CARMEL,PUTNAM,CONVENIENCE/GAS,11/10/2020,"2 DYKEMAN RD
CARMEL, NY 10512
(41.436440005000065, -73.68247002099997)"
NASSAU,"7 ELEVEN ( STORE#25449D ) / EAST MEADOW FOOD, INC.",331 MERRICK AVENUE,EAST MEADOW,NY,11554,HEMPSTEAD,NASSAU,CONVENIENCE STORE,11/10/2020,"331 MERRICK AVENUE
EAST MEADOW, NY 11554
(40.714076986000066, -73.57274403499997)"
ROCKLAND,MT. IVY COUNTRY CORNER (SHELL),361 ROUTE 202,POMONA,NY,10970,HAVERSTRAW,ROCKLAND,CONVENIENCE/GAS,11/10/2020,"361 ROUTE 202
POMONA, NY 10970
(41.186194011000055, -74.03564997699993)"
ERIE,STOP & SHOP,2159 GENESEE  STREET,BUFFALO,NY,14211,BUFFALO,ERIE,OTHER,11/10/2020,"2159 GENESEE  STREET
BUFFALO, NY 14211
(42.916473007000036, -78.80321397399996)"
MONROE,FAMILY DOLLAR STORES OF NY,1060 EAST RIDGE ROAD,ROCHESTER,NY,14621,IRONDEQUOIT,MONROE,DISCOUNT STORE,11/10/2020,"1060 EAST RIDGE ROAD
ROCHESTER, NY 14621
(43.198143008000045, -77.58949695999996)"
NYC,76 CUCCIS DELI INC,7602 18TH AVENUE,BROOKLYN,NY,11214,BROOKLYN,NEW YORK CITY,GROCERY SUPERMARKET,11/10/2020,"7602 18TH AVENUE
BROOKLYN, NY 11214
(40.61278001000005, -73.99680597399998)"
ONEONTA DO,COUNTRY STORE,WEST MAIN & HARPER STREET,STAMFORD,NY,12167,STAMFORD,DELAWARE,CONVENIENCE/GAS,11/10/2020,"WEST MAIN & HARPER STREET
STAMFORD, NY 12167
(42.41065004500007, -74.62057991599994)"
CAYUGA,SPEEDWAY #9946,1695 STATE ROUTE 38,MORAVIA,NY,13118,MORAVIA,CAYUGA,CONVENIENCE/GAS,11/10/2020,"1695 STATE ROUTE 38
MORAVIA, NY 13118
(42.700518729000066, -76.42045304599998)"
NYC,GRAND CONCOURSE PETROLEUM LLC,350 GRAND CONCOURSE,BRONX,NY,10451,BRONX,NEW YORK CITY,GAS STATION,11/10/2020,"350 GRAND CONCOURSE
BRONX, NY 10451
(40.815930018000074, -73.92805601199996)"
NYC,2278 DELI & GROCERY INC,2278 7TH AVENUE,NEW YORK,NY,10030,MANHATTAN,NEW YORK CITY,DELICATESSEN,11/10/2020,"2278 7TH AVENUE
NEW YORK, NY 10030
(40.81456836500007, -73.94440743399997)"
NYC,TILAK INC,1235 BROADWAY,NEW YORK,NY,10001,MANHATTAN,NEW YORK CITY,GROCERY SUPERMARKET,11/10/2020,"1235 BROADWAY
NEW YORK, NY 10001
(40.746989996000025, -73.98856203699995)"
NYC,"SEQUINE BAGEL BAKERY, INC.",5840 AMBOY ROAD,STATEN ISLAND,NY,10309,STATEN ISLAND,NEW YORK CITY,GROCERY SUPERMARKET,11/10/2020,"5840 AMBOY ROAD
STATEN ISLAND, NY 10309
(40.525819985000055, -74.20201197899996)"
MONTICELLO DO,MOBIL MINI MART,155 KINGSTON AVENUE,WURTSBORO,NY,12790,MAMAKATING,SULLIVAN,CONVENIENCE/GAS,11/10/2020,"155 KINGSTON AVENUE
WURTSBORO, NY 12790
(41.57706998400005, -74.48955098799996)"
SUFFOLK,FAMILY DOLLAR STORE,349 HORSEBLOCK RD,FARMINGVILLE,NY,11738,BROOKHAVEN,SUFFOLK,CONVENIENCE STORE,11/10/2020,"349 HORSEBLOCK RD
FARMINGVILLE, NY 11738
(40.836574134000045, -73.05017030499994)"
NYC,31-18 BROADWAY CORP,31-18 BROADWAY,ASTORIA,NY,11106,QUEENS,NEW YORK CITY,GROCERY SUPERMARKET,11/10/2020,"31-18 BROADWAY
ASTORIA, NY 11106
(40.76154999000005, -73.92478203999997)"
ULSTER,RK FOOD MART CORP.,895 ULSTER AVENUE,KINGSTON,NY,12401,ULSTER,ULSTER,CONVENIENCE/GAS,11/10/2020,"895 ULSTER AVENUE
KINGSTON, NY 12401
(41.955238991000044, -73.99485299099996)"
NYC,YAHAN CORP,65-10 QUEENS BOULEVARD,WOODSIDE,NY,11377,QUEENS,NEW YORK CITY,GROCERY SUPERMARKET,11/10/2020,"65-10 QUEENS BOULEVARD
WOODSIDE, NY 11377
(40.74053999500006, -73.90019397899994)"
NIAGARA,TOPS #130,4235 MILITARY ROAD,NIAGARA FALLS,NY,14305,NIAGARA,NIAGARA,GROCERY SUPERMARKET,11/10/2020,"4235 MILITARY ROAD
NIAGARA FALLS, NY 14305
(43.12575898700004, -79.00114800699998)"
ONEONTA DO,STEWART'S SHOP #241,108 CHESTNUT STREET,COOPERSTOWN,NY,13326,OTSEGO,OTSEGO,CONVENIENCE/GAS,11/10/2020,"108 CHESTNUT STREET
COOPERSTOWN, NY 13326
(42.69424000400005, -74.93457003299994)"
CORTLAND,MIRABITO CONVENIENCE MART,7073 ROUTE 281,TULLY,NY,13159,PREBLE,CORTLAND,CONVENIENCE/GAS,11/10/2020,"7073 ROUTE 281
TULLY, NY 13159
(42.74776998100003, -76.13528000899998)"
LIVINGSTON,EXPRESS MART DANSVILLE,119 MAIN STREET,DANSVILLE,NY,14437,N. DANSVILLE,LIVINGSTON,CONVENIENCE/GAS,11/10/2020,"119 MAIN STREET
DANSVILLE, NY 14437
(42.559130011000036, -77.69449999399995)"
GENEVA DO,SHURFINE FOOD MART,53  ROUTE 20A,HONEOYE,NY,14471,RICHMOND,ONTARIO,GROCERY SUPERMARKET,11/10/2020,"53  ROUTE 20A
HONEOYE, NY 14471
(42.78973140800008, -77.51434969899998)"
NASSAU,BP / CLINTON MARKET LLC,375 CLINTON STREET,HEMPSTEAD,NY,11550,HEMPSTEAD,NASSAU,CONVENIENCE/GAS,11/10/2020,"375 CLINTON STREET
HEMPSTEAD, NY 11550
(40.71723398800003, -73.62113603099993)"
WESTCHESTER,OAKLAND BEACH DELI & CATERING CORP.,520 MILTON  ROAD,RYE,NY,10580,RYE,WESTCHESTER,DELICATESSEN,11/10/2020,"520 MILTON  ROAD
RYE, NY 10580
(40.96259500900004, -73.68830298699999)"
HORNELL DO,7-ELEVEN #35092,47 MAIN STREET,ADDISON,NY,14801,ADDISON,STEUBEN,CONVENIENCE STORE,11/10/2020,"47 MAIN STREET
ADDISON, NY 14801
(42.10565798500005, -77.23365499499994)"
ERIE,ALMAZA RESTAURANT,9370 TRANSIT ROAD,EAST AMHERST,NY,14051,AMHERST,ERIE,RESTAURANT/ATUPA,11/10/2020,"9370 TRANSIT ROAD
EAST AMHERST, NY 14051
(43.02470802000005, -78.69759696499995)"
ORANGE,SAM'S FOOD STORE,90 ACADEMY AVENUE,MIDDLETOWN,NY,10940,MIDDLETOWN,ORANGE,CONVENIENCE STORE,11/10/2020,"90 ACADEMY AVENUE
MIDDLETOWN, NY 10940
(41.44031756900006, -74.41978293099999)"
ERIE,NIC'S VILLAGE DELI,83 JOHN  STREET,AKRON,NY,14001,NEWSTEAD,ERIE,DELICATESSEN,11/10/2020,"83 JOHN  STREET
AKRON, NY 14001
(43.02096700900006, -78.49537801899999)"
NYC,NITECAP ENTERTAINMENT CORP,690 GULF AVENUE,STATEN ISLAND,NY,10314,STATEN ISLAND,NEW YORK CITY,CONVENIENCE STORE,11/10/2020,"690 GULF AVENUE
STATEN ISLAND, NY 10314
(40.61348999900008, -74.18066201499994)"
